timeest,temperaturec,dewpointc,humidity,sealevelpressurehpa,visibilitykm,winddirection,windspeedkmh,gustspeedkmh,precipitationmm,events,conditions,winddirdegrees,dateutc
5:51 PM,0.6,-8.9,50,1006.2,16.1,WSW,7.4,0,0.0,,Mostly Cloudy,250,2012-01-02 22:51:00
6:51 PM,0.0,-8.3,54,1007.1,16.1,Calm,0,0,0.0,,Mostly Cloudy,0,2012-01-02 23:51:00
7:51 PM,-0.6,-6.7,64,1007.8,16.1,West,16.7,0,0.0,,Mostly Cloudy,260,2012-01-03 00:51:00
8:51 PM,-1.1,-8.3,59,1007.9,16.1,West,13.0,0,0.0,,Mostly Cloudy,280,2012-01-03 01:51:00
9:51 PM,-1.7,-7.8,64,1008.1,16.1,WNW,14.8,33.3,0.0,,Scattered Clouds,290,2012-01-03 02:51:00
10:51 PM,-2.2,-7.2,69,1008.0,16.1,WNW,5.6,0,0.0,,Mostly Cloudy,300,2012-01-03 03:51:00
11:34 PM,-2.0,-6.0,74,1007.7,3.2,NW,22.2,35.2,0.0,Snow,Light Snow,320,2012-01-03 04:34:00
11:36 PM,-3.0,-6.0,80,1007.7,1.6,NW,24.1,35.2,0.0,Snow,Light Snow,310,2012-01-03 04:36:00
11:42 PM,-3.0,-5.0,86,1007.7,1.2,NW,18.5,35.2,0.0,Snow,Light Snow,320,2012-01-03 04:42:00
11:51 PM,-3.3,-5.0,88,1008.2,3.2,NW,13.0,0,0.01,Snow,Light Snow,320,2012-01-03 04:51:00
12:01 AM,-3.0,-6.0,80,1008.0,14.5,NW,14.8,0,0.0,Snow,Light Snow,310,2012-01-03 05:01:00
12:12 AM,-3.0,-7.0,74,1008.0,12.9,WNW,11.1,0,0.0,Snow,Light Snow,300,2012-01-03 05:12:00
12:51 AM,-3.3,-7.8,71,1008.5,14.5,NW,11.1,0,0.0,Snow,Light Snow,320,2012-01-03 05:51:00
1:51 AM,-3.9,-8.9,69,1009.1,16.1,WNW,16.7,0,0.0,,Overcast,290,2012-01-03 06:51:00
2:51 AM,-5.6,-10.6,68,1009.6,16.1,West,13.0,0,0.0,,Scattered Clouds,280,2012-01-03 07:51:00
3:51 AM,-6.1,-9.4,78,1009.4,14.5,NW,7.4,0,0.0,Snow,Light Snow,310,2012-01-03 08:51:00
4:09 AM,-6.0,-9.0,80,1009.0,3.2,WNW,16.7,0,0.0,Snow,Light Snow,300,2012-01-03 09:09:00
4:18 AM,-6.0,-10.0,74,1009.4,9.7,NW,29.6,35.2,0.0,Snow,Light Snow,310,2012-01-03 09:18:00
4:20 AM,-6.0,-10.0,74,1009.4,11.3,NW,25.9,38.9,0.0,Snow,Light Snow,310,2012-01-03 09:20:00
4:51 AM,-6.1,-11.7,65,1009.8,16.1,WNW,22.2,33.3,0.0,,Mostly Cloudy,300,2012-01-03 09:51:00
5:51 AM,-6.7,-12.8,62,1011.0,16.1,WNW,25.9,0,0.0,,Scattered Clouds,290,2012-01-03 10:51:00
6:51 AM,-7.2,-13.3,62,1012.0,16.1,WNW,18.5,0,0.0,,Mostly Cloudy,290,2012-01-03 11:51:00
7:51 AM,-8.3,-14.4,62,1013.3,16.1,WNW,22.2,37.0,0.0,,Mostly Cloudy,300,2012-01-03 12:51:00
8:51 AM,-8.9,-14.4,65,1014.7,16.1,WNW,18.5,33.3,0.0,,Scattered Clouds,290,2012-01-03 13:51:00
9:51 AM,-8.9,-15.6,59,1014.9,16.1,WNW,25.9,40.7,0.0,,Scattered Clouds,290,2012-01-03 14:51:00
10:51 AM,-9.4,-15.6,61,1015.4,16.1,NW,27.8,44.4,0.0,,Mostly Cloudy,310,2012-01-03 15:51:00
11:51 AM,-8.9,-16.1,57,1015.1,16.1,WNW,31.5,48.2,0.0,,Scattered Clouds,300,2012-01-03 16:51:00
12:51 PM,-7.8,-16.7,50,1014.9,16.1,WNW,25.9,0,0.0,,Scattered Clouds,300,2012-01-03 17:51:00
1:51 PM,-7.2,-16.7,47,1015.0,16.1,WNW,27.8,38.9,0.0,,Partly Cloudy,290,2012-01-03 18:51:00
2:51 PM,-7.2,-17.2,46,1015.2,16.1,West,31.5,44.4,0.0,,Partly Cloudy,280,2012-01-03 19:51:00
3:51 PM,-8.3,-18.3,45,1016.6,16.1,West,35.2,46.3,0.0,,Partly Cloudy,280,2012-01-03 20:51:00
4:51 PM,-9.4,-19.4,45,1017.9,16.1,WNW,27.8,44.4,0.0,,Partly Cloudy,290,2012-01-03 21:51:00
5:51 PM,-10.6,-20.0,47,1019.0,16.1,WNW,24.1,40.7,0.0,,Clear,290,2012-01-03 22:51:00
6:51 PM,-11.1,-20.6,46,1020.4,16.1,West,24.1,37.0,0.0,,Clear,280,2012-01-03 23:51:00
7:51 PM,-11.7,-21.7,44,1021.2,16.1,WNW,22.2,37.0,0.0,,Clear,290,2012-01-04 00:51:00
8:51 PM,-12.8,-22.8,44,1021.9,16.1,WNW,18.5,35.2,0.0,,Clear,300,2012-01-04 01:51:00
9:51 PM,-13.3,-21.1,53,1022.2,16.1,WNW,18.5,0,0.0,,Clear,300,2012-01-04 02:51:00
10:51 PM,-13.9,-20.6,58,1022.4,16.1,NW,16.7,0,0.0,,Clear,310,2012-01-04 03:51:00
11:51 PM,-14.4,-21.1,58,1022.4,16.1,NNW,13.0,0,0.0,,Clear,330,2012-01-04 04:51:00
12:51 AM,-14.4,-21.1,58,1022.2,16.1,NNW,18.5,0,0.0,,Clear,330,2012-01-04 05:51:00
1:51 AM,-14.4,-20.6,60,1022.6,16.1,NNW,14.8,0,0.0,,Clear,330,2012-01-04 06:51:00
2:51 AM,-14.0,-21.0,56,1022.2,16.1,NNW,14.8,0,0.0,,Clear,340,2012-01-04 07:51:00
3:51 AM,-14.4,-20.0,63,1022.8,16.1,North,5.6,0,0.0,,Clear,350,2012-01-04 08:51:00
4:51 AM,-15.0,-19.4,70,1022.7,16.1,Calm,0,0,0.0,,Clear,0,2012-01-04 09:51:00
5:51 AM,-15.0,-18.9,73,1022.7,16.1,Calm,0,0,0.0,,Clear,0,2012-01-04 10:51:00
6:51 AM,-15.0,-18.9,73,1022.6,16.1,East,5.6,0,0.0,,Scattered Clouds,80,2012-01-04 11:51:00
7:51 AM,-14.4,-18.3,73,1023.3,16.1,Calm,0,0,0.0,,Scattered Clouds,0,2012-01-04 12:51:00
8:51 AM,-12.8,-17.8,67,1023.4,16.1,East,5.6,0,0.0,,Scattered Clouds,90,2012-01-04 13:51:00
9:51 AM,-11.7,-16.7,67,1022.6,16.1,East,7.4,0,0.0,,Mostly Cloudy,80,2012-01-04 14:51:00
10:51 AM,-8.9,-15.6,59,1021.4,16.1,Calm,0,0,0.0,,Mostly Cloudy,0,2012-01-04 15:51:00
11:51 AM,-8.9,-15.6,59,1019.9,16.1,Variable,5.6,0,0.0,,Mostly Cloudy,0,2012-01-04 16:51:00
12:51 PM,-8.3,-15.6,56,1018.1,16.1,South,9.3,0,0.0,,Overcast,180,2012-01-04 17:51:00
1:51 PM,-7.8,-15.0,57,1017.3,16.1,SSE,9.3,0,0.0,,Overcast,150,2012-01-04 18:51:00
2:51 PM,-7.2,-15.0,54,1016.6,16.1,South,14.8,0,0.0,,Overcast,170,2012-01-04 19:51:00
3:51 PM,-7.2,-15.0,54,1016.0,16.1,SSE,11.1,0,0.0,,Overcast,160,2012-01-04 20:51:00
4:51 PM,-7.2,-15.0,54,1015.7,16.1,South,9.3,0,0.0,,Overcast,180,2012-01-04 21:51:00
5:51 PM,-7.8,-14.4,60,1016.0,16.1,South,7.4,0,0.0,,Mostly Cloudy,180,2012-01-04 22:51:00
6:51 PM,-6.7,-14.4,55,1015.6,16.1,South,9.3,0,0.0,,Mostly Cloudy,170,2012-01-04 23:51:00
7:51 PM,-6.7,-14.4,55,1015.1,16.1,South,11.1,0,0.0,,Mostly Cloudy,170,2012-01-05 00:51:00
8:51 PM,-6.7,-14.4,55,1014.4,16.1,South,11.1,0,0.0,,Overcast,170,2012-01-05 01:51:00
9:51 PM,-6.1,-13.9,55,1014.1,16.1,South,13.0,0,0.0,,Overcast,170,2012-01-05 02:51:00
10:51 PM,-5.6,-13.3,55,1013.9,16.1,South,9.3,0,0.0,,Overcast,180,2012-01-05 03:51:00
11:51 PM,-5.6,-12.8,58,1013.0,14.5,South,9.3,0,0.0,Snow,Light Snow,170,2012-01-05 04:51:00
12:51 AM,-5.6,-12.8,58,1012.5,16.1,South,11.1,0,0.0,Snow,Light Snow,170,2012-01-05 05:51:00
